doc_id,the,of,and,to,a,in,that,is,was,he,for,it,with,as,his,→
A01,155,65,40,55,54,40,28,12,18,7,22,19,6,13,12,→
A02,134,94,33,56,51,36,11,11,15,13,24,15,6,14,6,→
A03,150,65,40,62,43,42,12,12,11,19,34,5,7,7,9,→
A04,160,68,45,52,38,58,33,14,13,12,19,13,9,17,6,→
A05,167,61,34,72,54,42,41,14,15,45,27,9,10,8,6,→
A06,150,77,37,52,54,43,18,28,12,32,31,10,15,8,15,→
A07,167,65,43,54,39,55,17,32,12,11,29,8,16,16,9,→
A08,183,69,29,58,39,49,15,25,4,9,14,22,15,11,8,→
A09,187,64,44,42,51,37,18,10,28,10,40,8,8,10,9,→
A10,134,64,36,64,38,48,21,19,10,20,29,12,12,14,9,→
A11,151,40,49,55,71,58,5,3,14,6,22,6,12,15,11,→
A12,113,38,44,29,58,54,14,7,14,35,25,16,11,11,13,→
A13,161,50,47,39,63,55,6,8,27,11,12,12,18,11,20,→
A14,172,61,41,39,76,40,15,15,20,34,22,14,18,15,17,→
A15,136,24,46,46,60,35,27,11,19,17,23,7,18,22,17,→
↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,