token,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,→
the,-0.168845,-0.461962,-0.19786,0.274797,-0.125103,-0.706765,-0.003869,0.433402,0.346452,0.040093,0.203006,0.090101,→
of,-0.156332,-0.205717,0.227799,0.168333,-0.124179,-0.942517,-0.006047,0.354843,0.581821,0.178699,0.115994,0.260422,→
and,-0.35421,-0.577716,-0.264329,0.391706,-0.121148,-0.53797,-0.02144,0.292083,0.166029,0.122325,0.112165,0.363388,→
to,-0.188663,-0.475612,-0.165088,0.557264,-0.175906,-0.470315,-0.143031,0.54875,0.024778,0.027579,0.337273,0.035197,→
a,-0.746083,-0.16305,-0.068605,0.621801,0.339663,-0.257003,-0.076629,0.699464,0.013988,-0.189733,0.005224,0.551253,→
in,-0.234889,-0.871305,0.186019,-0.099154,-0.243639,-0.591907,-0.049697,0.545955,-0.03968,0.095335,0.02752,0.127082,→
i,-0.187752,-0.189067,0.54628,0.98086,-0.063788,-0.047667,-0.040399,0.858812,-0.089908,-0.080435,-0.035776,-0.223912,→
that,-0.122229,-1.068663,0.203545,-0.139743,-0.047583,0.257451,0.241411,0.277364,0.427474,0.194155,-0.288758,-0.192211,→
it,-0.116662,-0.151302,-0.215672,0.597628,0.053331,-0.452194,0.164938,0.62079,0.213103,-0.325304,0.023041,-0.108058,→
he,0.264217,-1.258926,0.16205,0.105418,0.100143,0.165211,0.135424,0.320132,0.002697,0.306683,-0.366043,0.273684,→
was,0.228962,-0.237645,-0.334393,0.621722,0.014987,0.193712,0.389216,-0.200413,-0.368847,0.021749,0.178661,0.271978,→
his,-0.255955,-0.587171,-0.257692,0.766715,-0.266811,0.074266,0.100724,0.117419,-0.405978,0.719568,-0.003845,0.628617,→
is,-0.491186,-0.487561,-0.074739,-0.115964,0.181698,-0.465943,0.267144,0.468609,0.971713,0.199609,-0.013295,0.234851,→
as,-0.242131,-0.138365,-0.660047,0.03217,-0.077236,-0.672038,-0.807216,0.308242,0.058584,0.009522,0.121514,0.359722,→
with,-0.114715,-0.390149,0.115776,-0.170354,0.055223,-0.112999,-0.208434,0.254655,0.562462,0.362516,-0.401538,0.353187,→
↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,